workplace_id,census_no,institution_category_id,authority_id,language_id,gender_id,institution_types_id,grade_span_id,district_id,zeo_wp_id,deo_wp_id,name,address,phone
INS0000001,1,ICID001,AUID02,SLID01,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000001,MODARA DE LA SALLE COLLEGE,"MODARA, COLOMBO 15",112522125
INS0000002,2,ICID001,AUID02,SLID01,IGID03,ITID02,GSID06,DIS023,ZEO0000001,DEO0000001,MODARA ANANDA M.M.V.,"SRI PANCHANANDA MW, MODARA, COLOMBO 15",112523245
INS0000003,3,ICID001,AUID02,SLID01,IGID02,ITID02,GSID06,DIS023,ZEO0000001,DEO0000001,MODARA ST. ANTHONY'S B.M.V.,"MODARA, COLOMBO 15",112527128
INS0000004,4,ICID001,AUID02,SLID01,IGID03,ITID02,GSID04,DIS023,ZEO0000001,DEO0000001,KOTAHENA KUMARA V.,"KOTAHENA, COLOMBO 13",112385846
INS0000005,5,ICID001,AUID02,SLID03,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,ST. JOHN'S M.V.,"64, CENTER RD, COLOMBO 15",112540493
INS0000006,6,ICID001,AUID02,SLID03,IGID01,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,KOTAHENA ST. LUCIA'S COLLEGE,"KOTAHENA, COLOMBO 13",112452121
INS0000007,7,ICID001,AUID02,SLID01,IGID01,ITID04,GSID01,DIS023,ZEO0000001,DEO0000001,KOTAHENA CATHEDRAL BOYS COLLEGE,"82, KOTAHENA ST, KOTAHENA, COLOMBO 13",112320169
INS0000008,8,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,KOTAHENA PRESIDENT'S COLLEGE,"ALWIS PLACE KOTAHENA, COLOMBO 13",112321182
INS0000010,10,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,MODARA SRI MEDHANANDA V.,"ST. JAME'S STREET, MODARA, COLOMBO 15",112527141
INS0000011,11,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,MODARA ST. JOHN'S VIDYALAYA,"MODARA STREET, MODARA, COLOMBO 15",112521714
INS0000012,12,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,MATTAKKULIYA AVE MARIA V.,"MATTAKKULIYA, COLOMBO 15",112522090
INS0000013,13,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,SRI SANGHABODHI M.V.,"GRANDPASS, COLOMBO 14",112529885
INS0000014,14,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,BLOEMENDHAL SINHALA V.,"SIRIMAVO BANDARANAYAKA MW, COLOMBO 14",112439429
INS0000016,16,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000001,DEO0000001,KOTAHENA SRI GUNANANDA V.,"JINANANDA MW, KOTAHENA, COLOMBO 13",
INS0000017,17,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000001,DEO0000001,THOTAWATTA METHODIST VIDYALAYA,"152, CHURCH RD, MATTAKKULIYA, COLOMBO 15",112520089
INS0000018,18,ICID001,AUID02,SLID01,IGID02,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,KOTAHENA ROMAN CATHOLIC B.V.,"WASALA RD, KOTAHENA, COLOMBO 13",112444170
INS0000019,19,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000001,DEO0000001,MODARA ST. JAME'S P.V.,"261/1, MUTHUWELLA MW, MODARA, COLOMBO 15",
